     remote           refid      st t when poll reach   delay   offset  jitter
+ntp1.ds.network 92.21.53.217     2 u  448 1024  377   32.316   -0.720   1.042
+crimson.en.kku. 202.12.97.45     2 u   52 1024  377  221.866    0.096   2.643
+chilipepper.can 17.253.34.123    2 u  127 1024  157   27.735   -1.180   0.851
+golem.canonical 145.238.203.14   2 u  186 1024  177   27.805   -0.528   1.097
-alphyn.canonica 145.238.203.14   2 u   85 1024  173   85.884    0.204   3.455
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  668 1024  377   23.862   -0.651   1.606
+time.shf.uk.as4 198.137.202.11   3 u  486 1024  377   29.989    0.197   1.220
-kabel.kashra-se .PPS.            1 u  646 1024  377   63.076   -6.987   2.501
-185.216.231.116 52.239.121.49    3 u  78m 1024  360  175.482   -6.143  12.497
+ntp1.ds.network 92.21.53.217     2 u  585 1024  377   32.908   -0.976   0.744
+crimson.en.kku. 202.28.116.236   2 u  211 1024  377  218.255   -0.248   2.789
+chilipepper.can 134.71.66.21     2 u  302 1024  337   25.253   -0.296   0.792
+golem.canonical 145.238.203.14   2 u  304 1024  377   29.381    1.355   1.341
-alphyn.canonica 17.253.34.123    2 u  228 1024  367   84.058   -0.354   1.046
     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
*brenbox.westnet .GPS.            1 u  799 1024  377   23.756   -0.616   1.604
-time.shf.uk.as4 198.137.202.11   3 u  613 1024  377   28.739    1.497   2.092
-kabel.kashra-se .PPS.            1 u  805 1024  377   61.819   -6.567   2.467
-185.216.231.116 52.239.121.49    3 u  656 1024  341  170.530   -7.352  12.953
+ntp1.ds.network 92.21.53.217     2 u  725 1024  377   30.556    0.454   1.730
-crimson.en.kku. 202.12.97.45     2 u  325 1024  377  218.040    2.645   3.056
+chilipepper.can 17.253.34.251    2 u  471 1024  277   25.253   -0.296   0.779
-golem.canonical 145.238.203.14   2 u  479 1024  377   27.107    0.515   0.700
-alphyn.canonica 17.253.34.123    2 u  372 1024  357   83.549   -1.051   0.893
