,     remote           refid      st t when poll reach   delay   offset  jitter
129,-golem.canonical 17.253.108.125   2 u  250  512  377   25.269   -0.391   2.576
130,-alphyn.canonica 17.253.34.123    2 u  157  512  377   82.416   -0.708   1.454
131,     remote           refid      st t when poll reach   delay   offset  jitter
132, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
133,*brenbox.westnet .GPS.            1 u  159 1024  377   21.306   -0.378   0.651
134,-time.shf.uk.as4 198.137.202.11   3 u   47 1024  377   26.091   -0.712   2.246
135,-kabel.kashra-se .PPS.            1 u  124 1024  377   61.086   -8.655   3.382
136,-185.216.231.116 52.239.121.49    3 u   29 1024  137  167.409   -9.389   2.320
137,-ntp1.ds.network 92.21.53.217     2 u  172 1024  377   31.158   -0.612   1.314
138,-crimson.en.kku. 202.28.116.236   2 u  435  512  367  221.697    2.463   0.749
139,+chilipepper.can 17.253.34.251    2 u  376  512  375   26.797    0.102   1.441
140,+golem.canonical 17.253.108.125   2 u  398  512  377   25.269   -0.391   2.081
141,-alphyn.canonica 17.253.34.123    2 u  312  512  377   83.015    0.453   0.920
142,     remote           refid      st t when poll reach   delay   offset  jitter
143, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
144,*brenbox.westnet .GPS.            1 u  329 1024  377   21.306   -0.378   0.665
145,-time.shf.uk.as4 198.137.202.11   3 u  186 1024  377   26.091   -0.712   2.077
146,-kabel.kashra-se .PPS.            1 u  282 1024  377   56.483   -7.432   2.243
147,-185.216.231.116 52.239.121.49    3 u  173 1024  277  167.409   -9.389   2.361
148,-ntp1.ds.network 92.21.53.217     2 u  310 1024  377   30.367   -2.067   1.364
149,-crimson.en.kku. 202.28.116.236   2 u   43 1024  337  221.846    0.638   1.742
150,+chilipepper.can 17.253.34.251    2 u 1049 1024  373   26.484    0.321   1.372
151,+golem.canonical 17.253.108.253   2 u   41 1024  377   28.044    0.155   1.564
152,-alphyn.canonica 17.253.34.123    2 u  999 1024  377   83.015    0.453   0.902
153,     remote           refid      st t when poll reach   delay   offset  jitter
154, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
155,*brenbox.westnet .GPS.            1 u  493 1024  377   22.336   -1.053   0.744
156,-time.shf.uk.as4 198.137.202.11   3 u  332 1024  377   31.067   -0.629   1.761
157,-kabel.kashra-se .PPS.            1 u  451 1024  377   56.483   -7.432   2.220
158,-185.216.231.116 52.239.121.49    3 u  325 1024  177  176.629   -7.375   1.279
159,+ntp1.ds.network 92.21.53.217     2 u  458 1024  377   30.367   -2.067   1.789
160,-crimson.en.kku. 202.12.97.45     2 u  189 1024  277  220.813   -0.199   2.221
161,+chilipepper.can 17.253.34.251    2 u  117 1024  357   28.395   -1.450   1.698
162,-golem.canonical 17.253.108.253   2 u  177 1024  377   29.985    1.417   1.359
163,-alphyn.canonica 17.253.34.123    2 u   91 1024  377   83.750   -0.196   3.389
164,     remote           refid      st t when poll reach   delay   offset  jitter
165, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
166,*brenbox.westnet .GPS.            1 u  649 1024  377   21.233   -1.681   1.223
167,-time.shf.uk.as4 198.137.202.11   3 u  481 1024  377   28.834   -1.108   2.089
168,-kabel.kashra-se .PPS.            1 u  570 1024  377   57.271   -5.841   1.662
169,-185.216.231.116 52.239.121.49    3 u  500 1024  377  168.386   -9.279   1.964
170,+ntp1.ds.network 92.21.53.217     2 u  607 1024  377   33.795   -2.366   1.993
171,-crimson.en.kku. 202.28.116.236   2 u  304 1024  177  219.138    0.483   1.274
172,+chilipepper.can 17.253.34.251    2 u 1317 1024  336   28.395   -1.450   1.698
173,-golem.canonical 17.253.108.253   2 u 1377 1024  376   29.985    1.417   1.359
174,-alphyn.canonica 17.253.34.123    2 u 1291 1024  376   83.750   -0.196   3.389
175,     remote           refid      st t when poll reach   delay   offset  jitter
176, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
177,*brenbox.westnet .GPS.            1 u  810 1024  377   21.099   -1.371   0.923
178,-time.shf.uk.as4 198.137.202.11   3 u  650 1024  377   28.834   -1.108   1.904
179,-kabel.kashra-se .PPS.            1 u  733 1024  377   55.487   -7.703   2.036
180,-185.216.231.116 52.239.121.49    3 u  669 1024  377  168.386   -9.279  13.202
181,+ntp1.ds.network 92.21.53.217     2 u  759 1024  377   29.492   -1.081   1.421
182,-crimson.en.kku. 202.12.97.45     2 u  453 1024  377  219.138    0.483   1.197
183,+chilipepper.can 131.188.3.220    2 u  444 1024  275   26.505   -1.122   1.357
184,-golem.canonical 145.238.203.14   2 u  466 1024  375   28.975    0.755   0.650
185,-alphyn.canonica 145.238.203.14   2 u  398 1024  375   84.788   -0.129   3.353
186,     remote           refid      st t when poll reach   delay   offset  jitter
187, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
188,*brenbox.westnet .GPS.            1 u  968 1024  377   21.099   -1.371   0.899
189,-time.shf.uk.as4 198.137.202.11   3 u  807 1024  377   30.566   -1.088   1.561
190,-kabel.kashra-se .PPS.            1 u  904 1024  377   55.487   -7.703   1.786
191,-185.216.231.116 52.239.121.49    3 u  815 1024  377  165.504   -8.696  12.926
192,+ntp1.ds.network 92.21.53.217     2 u  880 1024  377   29.492   -1.081   1.403
193,-crimson.en.kku. 202.12.97.45     2 u  608 1024  377  216.785   -0.502   1.680
194,+chilipepper.can 145.238.203.14   2 u  565 1024  173   26.505   -1.122   1.276
195,-golem.canonical 17.253.108.125   2 u  619 1024  373   28.975    0.755   0.589
196,-alphyn.canonica 145.238.203.14   2 u  553 1024  373   84.401   -1.467   4.168
197,     remote           refid      st t when poll reach   delay   offset  jitter
198, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
